eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
86.68,-2.34,71,6.527848e-05,0.0,2.7079751,-0.00019085297,0.46432245,-0.01069796085357666,1,256,230.53409529058263,16384
85.78,-3.36,71,2.2995715e-05,0.0,2.7079027,-3.8512404e-05,0.20518269,0.014861762523651123,2,512,460.36357439588755,32768
86.13,-3.55,72,6.316858e-05,0.0,2.7078505,-0.00014339086,0.20214504,0.00656282901763916,3,768,687.3579775206745,49152
83.77,-2.58,72,0.0002423963,2.0345053e-05,2.7074385,-0.00073048234,0.1555658,0.04774737358093262,4,1024,914.3778566187248,65536
85.07,-2.25,72,0.00058433117,0.0,2.7053452,-0.00067887286,0.13515282,0.14174801111221313,5,1280,1141.5215709465556,81920
90.15,-2.95,72,0.002304393,0.011617024,2.698106,-0.0019841471,0.15048797,0.2207193374633789,6,1536,1368.5081026726402,98304
88.94,-2.44,72,0.0020857195,0.014607747,2.6893756,-0.0030626906,0.1259889,0.31406962871551514,7,1792,1595.8328471719287,114688
87.9,-1.65,72,0.0026695626,0.022969564,2.6809442,-0.0043523638,0.100590326,0.40442466735839844,8,2048,1822.9044138379395,131072
80.69,-1.77,72,0.0041830298,0.038289387,2.6765172,-0.005896358,0.10453836,0.49534231424331665,9,2304,2050.047875900753,147456
90.71,-2.49,72,0.0037170083,0.036376953,2.667957,-0.007390328,0.10256756,0.5419005453586578,10,2560,2276.9415136966854,163840
83.05,-0.94,71,0.0046912194,0.051208496,2.6594212,-0.008708325,0.10142533,0.5588198006153107,11,2816,2504.5897146626376,180224
81.64,-0.81,72,0.0050335075,0.058492023,2.6521566,-0.010167417,0.070684575,0.573440670967102,12,3072,2731.4594461028464,196608
89.74,-1.26,72,0.0062461435,0.076944984,2.647424,-0.0117131835,0.092912436,0.6146653592586517,13,3328,2958.6185736055486,212992
84.17,-0.51,72,0.006721854,0.090555824,2.6383674,-0.014613242,0.0801216,0.6121532320976257,14,3584,3185.1348017496057,229376
87.33,-1.03,72,0.0073215845,0.097066246,2.615863,-0.017448224,0.06505588,0.6501207649707794,15,3840,3412.617447824683,245760
83.76,-1.12,72,0.008983007,0.12536621,2.6002667,-0.017155299,0.06571845,0.6897281110286713,16,4096,3639.734505117871,262144
86.79,-0.41,72,0.0075925626,0.1005249,2.5960844,-0.017824266,0.06889978,0.6488284170627594,17,4352,3866.2797214337625,278528
81.34,-0.08,72,0.009153275,0.12473551,2.585078,-0.017577896,0.057584416,0.6219074130058289,18,4608,4093.4695503059775,294912
80.05,0.63,72,0.009451242,0.12866211,2.5697472,-0.019323844,0.047229577,0.6379153728485107,19,4864,4320.497844441794,311296
79.59,0.25,72,0.011443175,0.15926106,2.567366,-0.018957667,0.050802037,0.672022819519043,20,5120,4547.805461438838,327680
84.93,0.53,72,0.013210681,0.18245442,2.5483077,-0.016076155,0.047069702,0.6754301190376282,21,5376,4774.665469145868,344064
86.25,0.79,71,0.010648321,0.14440918,2.5656025,-0.016848842,0.044737216,0.6706406772136688,22,5632,5002.537227023859,360448
