eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
86.23,-2.41,223,0.0010676607,0.0,2.7069867,-0.00089284196,0.33006266,-0.07191205024719238,1,256,73.28916320716962,16384
89.72,-2.14,273,0.002233512,0.0,2.6969166,-0.0018180899,0.15443955,0.019891858100891113,2,512,134.02787129813805,32768
82.8,-2.27,275,0.0019240003,0.0,2.6777933,-0.0016352516,0.17748302,0.0127066969871521,3,768,193.5376284061931,49152
84.79,-2.52,275,0.0009933113,0.0,2.6630867,-0.0003599855,0.16285123,0.029511630535125732,4,1024,252.98068135092035,65536
81.56,-1.72,276,0.0009397154,0.0,2.6564667,-0.0009261693,0.1444462,0.0023269057273864746,5,1280,312.2482268502936,81920
80.15,-1.92,276,0.0012786597,0.0,2.6497548,-0.0010694064,0.1614884,0.03835427761077881,6,1536,371.4170763171278,98304
85.47,-2.22,275,0.0009018364,0.0,2.6458898,-0.00061989255,0.15810485,0.020231902599334717,7,1792,430.7887963070534,114688
82.57,-2.07,275,0.00063635415,0.0,2.6373944,-0.0006398673,0.15848662,0.015151560306549072,8,2048,490.2290321220644,131072
82.78,-1.78,277,0.0006960216,0.0,2.6292665,-0.00048133385,0.14714922,0.009840011596679688,9,2304,549.3386186719872,147456
85.04,-1.59,277,0.00087584316,0.0,2.6264498,-0.0005638096,0.15310185,0.026852309703826904,10,2560,608.405180644244,163840
79.58,-1.96,276,0.0010888178,0.0,2.6173313,-0.0007133195,0.16181298,0.040026307106018066,11,2816,667.5999660929665,180224
76.98,-2.05,277,0.0006227242,0.0,2.605997,-0.00072077016,0.17105629,0.02555912733078003,12,3072,726.6809166921303,196608
77.04,-1.96,276,0.001787532,0.010721843,2.5922527,-0.0012123018,0.16207346,0.0017108321189880371,13,3328,785.8680189852603,212992
79.6,-2.32,276,0.000922058,0.0,2.5709722,-0.000586989,0.17062098,0.0165175199508667,14,3584,845.110170355998,229376
73.8,-1.78,277,0.0005891596,0.0,2.5517204,-0.00058954785,0.1671586,0.010856091976165771,15,3840,904.225015622098,245760
76.43,-1.94,276,0.00069736067,0.0,2.5498464,-0.0004630049,0.1411681,0.018002033233642578,16,4096,963.4203095962293,262144
75.55,-1.62,277,0.00020547108,0.0,2.5479217,-0.00010309249,0.171444,0.0340878963470459,17,4352,1022.4505253159441,278528
77.23,-1.8,277,0.0003729742,0.0,2.547779,-0.00031554812,0.16396628,0.016944169998168945,18,4608,1081.5175291802734,294912
80.07,-1.77,277,0.0008286264,0.0,2.5478451,-0.00049170625,0.13675128,0.011293232440948486,19,4864,1140.5749356010929,311296
75.05,-1.19,277,0.0009801204,0.0,2.542919,-0.00055831595,0.14026664,0.008847534656524658,20,5120,1199.6470075231045,327680
74.81,-1.56,277,0.0007649961,0.0,2.548558,-0.00044129087,0.13942727,0.019649028778076172,21,5376,1258.7172768632881,344064
77.74,-1.57,277,0.00087883254,0.0,2.5365536,-0.0005877346,0.13839494,0.014883637428283691,22,5632,1317.7362147760577,360448
75.83,-1.71,277,0.0010269089,0.0,2.5328918,-0.0007158517,0.13695574,0.010082602500915527,23,5888,1376.789939359296,376832
