eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
88.1,-3.23,1247,0.0016256287,0.0,2.7064142,-0.0009448764,0.3056729,0.042657434940338135,1,256,13.135809103958309,16384
90.26,-2.88,1272,0.000939311,0.005533854,2.7046206,-0.0015097257,0.13524951,0.07856816053390503,2,512,26.17017299728468,32768
80.49,-2.15,1284,0.0010433384,0.0024414062,2.7004662,-0.0012601461,0.12958188,0.05553847551345825,3,768,38.92947520595044,49152
84.29,-2.35,1281,0.0015589929,0.009155273,2.6893969,-0.00096057385,0.14144199,0.057411134243011475,4,1024,51.720022816210985,65536
87.02,-1.97,1269,0.0018121725,0.014058431,2.683326,-0.0016042195,0.14080216,0.07608157396316528,5,1280,64.62850967003033,81920
83.32,-1.96,1265,0.001590679,0.002726237,2.6836214,-0.0014060112,0.13237058,0.11270421743392944,6,1536,77.57193772727624,98304
82.73,-1.81,1263,0.0039876704,0.03479004,2.6633549,-0.0037269033,0.12475332,0.18786746263504028,7,1792,90.54277641326189,114688
82.26,-1.89,1281,0.0045936196,0.041137695,2.649134,-0.0036461393,0.14080246,0.21473431587219238,8,2048,103.3254363401793,131072
81.62,-1.98,1278,0.005654651,0.039794922,2.6362941,-0.003765883,0.12602851,0.32116109132766724,9,2304,116.13848766405135,147456
77.46,-1.7,1277,0.005422773,0.049886066,2.6032357,-0.003959756,0.12055687,0.39744049310684204,10,2560,128.9611121811904,163840
78.12,-1.97,1284,0.0054531116,0.04876709,2.5874772,-0.0050377953,0.11666945,0.42849165201187134,11,2816,141.71225548209623,180224
79.83,-1.95,1280,0.0044879685,0.04227702,2.587782,-0.0036868379,0.13576591,0.48290640115737915,12,3072,154.5111896423623,196608
78.52,-1.73,1269,0.004439916,0.042093914,2.5905674,-0.004309744,0.111060105,0.5290926098823547,13,3328,167.41288430895656,212992
79.49,-1.55,1286,0.0048248773,0.035868328,2.6039217,-0.0037856137,0.10228684,0.5309328436851501,14,3584,180.15060944715515,229376
85.46,-2.14,1282,0.004914498,0.03479004,2.5998445,-0.004453336,0.114258684,0.5397116541862488,15,3840,192.92364862235263,245760
81.1,-2.42,1267,0.004224965,0.034179688,2.5889351,-0.0041146143,0.14129807,0.5258797109127045,16,4096,205.8515780060552,262144
80.65,-2.18,1290,0.0050491355,0.041361492,2.5870497,-0.0047999662,0.1209935,0.5448205769062042,17,4352,218.5450034509413,278528
80.32,-1.61,1290,0.003911819,0.032023113,2.570745,-0.003941359,0.11162326,0.5614833831787109,18,4608,231.24247969826683,294912
82.49,-1.91,1277,0.0058773705,0.049519856,2.5544782,-0.0059618372,0.10358515,0.6378602683544159,19,4864,244.07047065394,311296
76.9,-1.76,1256,0.0057617333,0.05336507,2.5362685,-0.0051128617,0.13078012,0.5679358243942261,20,5120,257.10963009204715,327680
85.17,-2.45,1270,0.005016432,0.05287679,2.542823,-0.0055502784,0.1434253,0.5864075422286987,21,5376,270.0029076063074,344064
86.68,-1.77,1274,0.0048078224,0.044087727,2.55285,-0.0064467117,0.1118881,0.5951575338840485,22,5632,282.8607890289277,360448
82.02,-1.74,1272,0.0047893194,0.041137695,2.5254893,-0.006566526,0.11425245,0.6243391036987305,23,5888,295.7322991993278,376832
81.69,-1.87,1287,0.005617408,0.06081136,2.5214393,-0.0048795626,0.10222012,0.60142782330513,24,6144,308.4602431100793,393216
79.84,-2.44,1275,0.00567675,0.061014812,2.4867547,-0.0071298066,0.1005865,0.6271701157093048,25,6400,321.30425271531567,409600
85.79,-1.85,1296,0.0053445883,0.056803387,2.5070627,-0.0065158345,0.09978539,0.6468029618263245,26,6656,333.94316995702684,425984
81.51,-1.81,1279,0.005616227,0.069498695,2.4751043,-0.0061745984,0.09996119,0.6092067360877991,27,6912,346.75092041119933,442368
82.83,-1.77,1270,0.0045188526,0.035339355,2.4686446,-0.0061037857,0.109166,0.6469153463840485,28,7168,359.64856990333647,458752
81.78,-1.35,1268,0.006600799,0.0758667,2.464932,-0.00879511,0.09040093,0.6464830935001373,29,7424,372.568594857119,475136
78.39,-1.97,1290,0.0056465776,0.06654867,2.4206805,-0.00843081,0.09638622,0.7044329643249512,30,7680,385.2642099489458,491520
86.17,-1.61,1274,0.0059140683,0.064941406,2.4343073,-0.0068482268,0.0967144,0.650059849023819,31,7936,398.11637755529955,507904
87.71,-1.55,1280,0.0064407946,0.07533773,2.3907278,-0.009147598,0.09908879,0.592248946428299,32,8192,410.9159312900156,524288
83.78,-1.16,1271,0.005853616,0.062561035,2.3974218,-0.008314431,0.08466352,0.6470587849617004,33,8448,423.806895181071,540672
85.01,-1.59,1277,0.0068005775,0.08064779,2.421448,-0.008158254,0.11157378,0.6139092147350311,34,8704,436.6345386430621,557056
84.15,-1.92,1283,0.005473859,0.060587566,2.4725096,-0.009510188,0.08722616,0.6476688385009766,35,8960,449.4034619820304,573440
82.88,-1.61,1281,0.006762823,0.08388265,2.4412186,-0.008361825,0.11782232,0.5670745372772217,36,9216,462.1911866180599,589824
82.83,-1.49,1273,0.005598858,0.060831707,2.4261358,-0.008450291,0.08941952,0.5862435400485992,37,9472,475.0572819840163,606208
89.34,-1.65,1266,0.00633586,0.073038734,2.429087,-0.007898803,0.10603467,0.6125072836875916,38,9728,487.99169229203835,622592
87.05,-1.16,1284,0.0061980463,0.067850746,2.4671934,-0.009364262,0.08395091,0.6214364767074585,39,9984,500.74912334932014,638976
77.8,-1.59,1278,0.007078349,0.089029945,2.4628685,-0.0091008,0.09913361,0.6795888543128967,40,10240,513.5697059640661,655360
80.99,-1.64,1280,0.0063091484,0.07560221,2.4456663,-0.010247086,0.104100965,0.6775884628295898,41,10496,526.3686769809574,671744
82.36,-1.31,1265,0.0067792484,0.081339516,2.4435744,-0.009268972,0.09553543,0.6572917401790619,42,10752,539.3167872391641,688128
81.14,-1.61,1275,0.0072681676,0.09338379,2.4200583,-0.0068167956,0.1502011,0.5326662063598633,43,11008,552.1669552573003,704512
88.15,-1.71,1277,0.006015392,0.07122803,2.4469335,-0.010833513,0.10540128,0.5672643780708313,44,11264,564.9929367280565,720896
81.38,-1.83,1289,0.006428476,0.08235677,2.458349,-0.010406782,0.097524494,0.6051531434059143,45,11520,577.6979774800129,737280
79.61,-1.35,1273,0.006736293,0.085632324,2.4370062,-0.01121539,0.08568826,0.6482540667057037,46,11776,590.5588383390568,753664
77.46,-1.27,1278,0.007383859,0.09773763,2.457412,-0.011220367,0.081617855,0.6426784992218018,47,12032,603.3728533741087,770048
82.15,-1.13,1282,0.0075734947,0.10268148,2.4414427,-0.011638224,0.08659554,0.6036433577537537,48,12288,616.1475051343441,786432
79.21,-0.72,1274,0.007401588,0.09578451,2.4522483,-0.012105089,0.08384699,0.6593127846717834,49,12544,629.00124770822,802816
80.62,-1.37,1279,0.007895118,0.094828285,2.4391587,-0.0106987385,0.086150266,0.6671915054321289,50,12800,641.809529628139,819200
84.0,-0.51,1279,0.0069883694,0.088419594,2.4449298,-0.012340696,0.07222471,0.6658084392547607,51,13056,654.617552976124,835584
79.6,-1.59,1284,0.008364735,0.112325035,2.4648812,-0.009108103,0.11224788,0.5463604927062988,52,13312,667.3756864950992,851968
80.01,-1.11,1274,0.006781597,0.085754395,2.4719121,-0.013171371,0.08794668,0.647845059633255,53,13568,680.227580206003,868352
83.7,-0.68,1281,0.007160762,0.090922035,2.470936,-0.013465226,0.09459889,0.6061341166496277,54,13824,693.0152957122773,884736
85.37,-0.57,1284,0.008484182,0.11771647,2.4512317,-0.0140769,0.08387149,0.5770427286624908,55,14080,705.7753031249158,901120
88.59,-0.8,1289,0.007884926,0.104024254,2.4660513,-0.012376636,0.07757132,0.6350790858268738,56,14336,718.4784062500112,917504
80.11,-0.92,1283,0.008891239,0.12937419,2.4557118,-0.011945802,0.08527193,0.602595865726471,57,14592,731.2455873102881,933888
75.54,-0.67,1283,0.008197564,0.10876465,2.4538188,-0.011581865,0.07888564,0.5702409744262695,58,14848,744.0099140801467,950272
81.36,-0.64,1276,0.008255555,0.111450195,2.4734018,-0.012943174,0.07559442,0.6387587487697601,59,15104,756.843422732316,966656
78.89,-0.55,1276,0.0072374716,0.09169515,2.4764616,-0.013081034,0.07696504,0.6016067862510681,60,15360,769.6830610241741,983040
78.88,-0.65,1276,0.009330598,0.12886555,2.465914,-0.014267073,0.09616523,0.5374482870101929,61,15616,782.5956648280844,999424
