eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
80.55,-2.73,92,0.00027420514,0.0,2.707782,-0.00043718866,0.34671566,0.0026751160621643066,1,256,177.6186126251705,16384
90.42,-2.13,92,0.00031079812,0.0,2.7063282,-0.00040334076,0.1577843,0.03175234794616699,2,512,354.60929240612313,32768
82.75,-2.21,92,0.0010153358,0.00014241536,2.7025468,-0.0008660159,0.14269044,0.09473103284835815,3,768,531.9776633251458,49152
82.38,-2.0,92,0.0021480909,0.0082804365,2.690177,-0.0014397693,0.14565437,0.1826651692390442,4,1024,709.2712280573323,65536
84.21,-2.08,92,0.0041027847,0.026529947,2.6661217,-0.0026500218,0.12680782,0.2905657887458801,5,1280,886.763563032262,81920
77.63,-2.2,92,0.004570451,0.031901043,2.642076,-0.0033805433,0.10150322,0.3900032639503479,6,1536,1064.017704224214,98304
83.18,-2.54,92,0.0034733566,0.032735188,2.6371148,-0.0027648248,0.11016797,0.409445583820343,7,1792,1241.1519941342995,114688
80.6,-1.35,92,0.0030035886,0.019063314,2.6200993,-0.00422342,0.090719946,0.4691871404647827,8,2048,1418.3424034509808,131072
76.8,-2.0,92,0.0035602562,0.026306152,2.6161199,-0.0032386126,0.10689446,0.5553319752216339,9,2304,1595.551642189268,147456
74.93,-1.36,92,0.005115685,0.040039062,2.6177294,-0.0060495953,0.08974063,0.541231244802475,10,2560,1772.7855265620165,163840
80.96,-1.94,92,0.0052707307,0.05210368,2.5942066,-0.0067333695,0.0912067,0.5809348523616791,11,2816,1949.6218440230004,180224
79.77,-1.69,92,0.0052389572,0.054829914,2.5860083,-0.0070788343,0.08091862,0.5988192856311798,12,3072,2127.0779871949926,196608
80.92,-1.38,92,0.0037997782,0.034159344,2.6009414,-0.007747724,0.081846185,0.5596471428871155,13,3328,2304.6136529929936,212992
80.15,-1.08,92,0.005487444,0.054992676,2.5866034,-0.008319574,0.0731369,0.609651118516922,14,3584,2481.5423709489405,229376
80.26,-0.8,92,0.0050145574,0.04972331,2.575302,-0.008792712,0.065380536,0.6605615317821503,15,3840,2658.883063985035,245760
78.88,-0.41,92,0.00583143,0.06693522,2.5380397,-0.008620866,0.07066042,0.5904758870601654,16,4096,2836.0778480423614,262144
76.94,-0.56,92,0.0061383974,0.07281494,2.5266783,-0.009879091,0.066096805,0.6089041233062744,17,4352,3012.9802525462583,278528
77.08,-0.25,92,0.0061924774,0.07582601,2.526592,-0.009655121,0.065032035,0.5913036167621613,18,4608,3190.0269308891147,294912
79.25,-0.49,92,0.0060115247,0.0715332,2.5314882,-0.012092241,0.058461737,0.5858342349529266,19,4864,3366.617253835313,311296
79.66,-0.76,92,0.007243114,0.08669027,2.5086186,-0.01228168,0.06618626,0.5972241759300232,20,5120,3543.7818486713804,327680
75.93,0.01,92,0.0073443707,0.09342448,2.4984941,-0.01285499,0.045423355,0.5584183931350708,21,5376,3720.8049762230366,344064
79.05,-0.06,92,0.010195914,0.13820393,2.4682558,-0.010831878,0.060085747,0.60918989777565,22,5632,3898.0943000093102,360448
77.31,-0.24,92,0.008579108,0.11344401,2.4340072,-0.013306164,0.06293319,0.6426158249378204,23,5888,4074.7554588862695,376832
77.95,0.28,92,0.008861513,0.11482748,2.4320312,-0.014282484,0.052098867,0.5165493488311768,24,6144,4251.935213939287,393216
81.12,-0.5,92,0.009925489,0.14107259,2.3930671,-0.01183217,0.05703157,0.6442803144454956,25,6400,4428.6080003972165,409600
76.97,-0.37,92,0.00905411,0.11930338,2.4294815,-0.0143591985,0.05159344,0.5752936601638794,26,6656,4605.577595912386,425984
77.09,0.52,92,0.008266095,0.11283366,2.4441,-0.015596448,0.04745349,0.5843188464641571,27,6912,4782.775327081326,442368
76.55,0.15,92,0.009607265,0.12961833,2.3958867,-0.016214198,0.04613014,0.613633543252945,28,7168,4959.924329561181,458752
79.02,0.28,92,0.009153809,0.12072754,2.4104097,-0.013721649,0.044142086,0.6468990445137024,29,7424,5136.888822168112,475136
74.6,0.21,92,0.010048254,0.13417561,2.4106126,-0.013039488,0.057012465,0.597470223903656,30,7680,5314.195690188091,491520
83.97,0.08,92,0.009592699,0.12882487,2.423748,-0.013489813,0.04936719,0.6148327589035034,31,7936,5491.300034488086,507904
77.99,0.15,92,0.01091138,0.14689128,2.419735,-0.01577417,0.0511367,0.5541291534900665,32,8192,5668.744796962012,524288
81.17,0.1,92,0.010228558,0.13926189,2.415877,-0.01579295,0.052068934,0.5723423659801483,33,8448,5846.083507256117,540672
76.52,0.31,92,0.012038811,0.14758301,2.4048283,-0.014628123,0.05087964,0.6243945062160492,34,8704,6023.254382533953,557056
82.71,0.01,92,0.010331077,0.1371053,2.4156044,-0.017168932,0.06540752,0.5390023589134216,35,8960,6200.299518600106,573440
83.87,0.59,92,0.010783434,0.13435872,2.4155662,-0.017648993,0.08297231,0.45221948623657227,36,9216,6376.997555096168,589824
81.89,0.04,92,0.010272714,0.13039143,2.4181664,-0.018196885,0.06644132,0.5364640653133392,37,9472,6554.284732764121,606208
84.92,0.42,92,0.010018487,0.12715657,2.4276092,-0.017638946,0.06939776,0.5418065190315247,38,9728,6731.6188340829685,622592
81.95,0.34,92,0.010719422,0.13423665,2.4130046,-0.018110355,0.074123,0.4330291152000427,39,9984,6908.521416220348,638976
83.93,0.43,92,0.010945263,0.14707439,2.403595,-0.017605683,0.07939185,0.546676754951477,40,10240,7085.711658329237,655360
87.52,0.43,92,0.01234273,0.16267903,2.3884532,-0.019329311,0.06615975,0.5233409702777863,41,10496,7262.9440639112145,671744
82.25,0.33,92,0.012669828,0.15865071,2.4006522,-0.019295981,0.07184333,0.5245785117149353,42,10752,7440.420384841971,688128
79.89,0.52,92,0.011897539,0.16166179,2.4187446,-0.018046727,0.091778755,0.5213039517402649,43,11008,7617.218777616974,704512
85.37,0.3,92,0.0103460355,0.1328125,2.4087188,-0.020077536,0.07229611,0.5934807062149048,44,11264,7794.075544324238,720896
83.08,0.35,92,0.012102275,0.15968831,2.4100916,-0.017625144,0.0761716,0.5700919330120087,45,11520,7970.926195040345,737280
87.18,0.5,90,0.012612205,0.1630249,2.394149,-0.021314016,0.045569923,0.5872922539710999,46,11776,8151.479198826011,753664
77.3,0.6,92,0.012798731,0.17248535,2.3524132,-0.02202391,0.06391875,0.5889973640441895,47,12032,8328.832086880226,770048
82.52,1.06,92,0.011861023,0.15236409,2.3739562,-0.020606393,0.047780707,0.6586463153362274,48,12288,8506.299662795383,786432
85.95,0.67,92,0.012830753,0.1667277,2.3604124,-0.019758252,0.068349846,0.5649799406528473,49,12544,8683.84446957428,802816
84.27,0.56,92,0.012595687,0.15981038,2.390024,-0.01933712,0.07491645,0.6064843833446503,50,12800,8861.050748303067,819200
88.04,0.58,92,0.0114095425,0.14347331,2.3897545,-0.020956008,0.07482694,0.6274601221084595,51,13056,9038.787383106072,835584
81.58,0.62,92,0.012338926,0.1572469,2.3602135,-0.021460146,0.08156232,0.5609365999698639,52,13312,9216.190129471011,851968
84.6,0.44,92,0.0112539,0.14807129,2.3839304,-0.022222249,0.095646404,0.5541935861110687,53,13568,9394.134535474237,868352
90.08,0.55,92,0.013749339,0.17305501,2.33996,-0.020197056,0.086723894,0.6244584918022156,54,13824,9571.877935327124,884736
86.22,1.21,92,0.013133784,0.16575114,2.3578856,-0.021716064,0.06313007,0.6547837853431702,55,14080,9749.585683010984,901120
85.99,1.06,92,0.014102645,0.1743571,2.350773,-0.021583043,0.074231364,0.6738850772380829,56,14336,9926.992588515393,917504
84.96,1.26,92,0.012454909,0.15258789,2.387738,-0.02163594,0.053310692,0.6906049251556396,57,14592,10104.297438795213,933888
85.25,0.84,92,0.012583788,0.15749104,2.3876865,-0.02108782,0.07805501,0.6084083616733551,58,14848,10281.429894804023,950272
90.73,0.99,92,0.012694921,0.15362549,2.3737895,-0.021034295,0.09108174,0.6458858549594879,59,15104,10458.956014454365,966656
87.26,1.05,92,0.014849567,0.17388916,2.3517604,-0.022606062,0.09199876,0.614107757806778,60,15360,10636.797717418056,983040
