eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
78.89,-3.13,112,0.0018238999,0.0,2.7061813,-0.0010282198,0.536102,0.006458163261413574,1,256,145.1888861656189,16384
83.1,-2.43,113,0.0042313016,0.027282715,2.6941974,-0.0022558784,0.17763709,0.11010003089904785,2,512,289.9303812519647,32768
78.4,-1.56,112,0.0027191017,0.014444987,2.6861095,-0.0017049989,0.15113825,0.2778773903846741,3,768,434.99550183769315,49152
78.3,-2.62,113,0.00461051,0.02931722,2.6663365,-0.0029592244,0.14781427,0.35867583751678467,4,1024,579.8279709448107,65536
79.44,-1.48,113,0.005211402,0.025268555,2.6479814,-0.0028429513,0.109199464,0.41483330726623535,5,1280,724.5537050305866,81920
74.81,-1.79,112,0.002424448,0.0082804365,2.6232386,-0.0016795947,0.116730206,0.528608113527298,6,1536,869.6830460368656,98304
77.1,-1.6,113,0.0032366684,0.016703287,2.6172898,-0.0021114948,0.088322766,0.6042712926864624,7,1792,1014.4943128218874,114688
74.39,-1.71,113,0.0049296417,0.03704834,2.579835,-0.002935455,0.072255455,0.7205762565135956,8,2048,1159.2866407288238,131072
71.85,-1.46,113,0.0037008608,0.023885092,2.5927978,-0.004116328,0.07572656,0.742383748292923,9,2304,1304.267682433594,147456
76.44,-0.72,112,0.0029322726,0.023234049,2.5910475,-0.0059927437,0.07673218,0.7438577115535736,10,2560,1449.2835034299642,163840
72.8,-0.97,113,0.004581824,0.041178387,2.5796235,-0.0064251963,0.067027085,0.7735843807458878,11,2816,1594.1484685516916,180224
74.95,-0.51,113,0.0048406436,0.04178874,2.5916111,-0.0072446247,0.0554775,0.7778486460447311,12,3072,1739.0133563578129,196608
75.36,-0.46,113,0.004564361,0.045267742,2.599264,-0.007841242,0.0533977,0.7988943010568619,13,3328,1883.6614216938615,212992
76.5,-0.11,112,0.005994896,0.069498695,2.5802474,-0.009220372,0.059059944,0.7577083110809326,14,3584,2028.8641007328406,229376
75.0,-0.25,112,0.005586324,0.062398273,2.552694,-0.007383472,0.066026874,0.7946595549583435,15,3840,2173.9249602728523,245760
74.54,-0.5,113,0.0046757036,0.04996745,2.5570915,-0.00796089,0.05890891,0.7920620143413544,16,4096,2318.6467268597335,262144
74.65,-0.09,113,0.0057733455,0.065470375,2.5259507,-0.010623508,0.056175265,0.7820414155721664,17,4352,2463.489743134007,278528
77.91,0.02,112,0.0065283296,0.07655843,2.5272994,-0.008881009,0.054738954,0.7503504306077957,18,4608,2608.4856143188663,294912
76.47,0.36,113,0.006975233,0.08632406,2.5373774,-0.008015357,0.052754596,0.7180542945861816,19,4864,2753.080937007908,311296
76.21,0.69,113,0.007180717,0.08829752,2.5252206,-0.009765057,0.045087207,0.7374102771282196,20,5120,2897.6672146576457,327680
74.69,0.47,112,0.008710367,0.10953776,2.4722865,-0.008483874,0.042050328,0.7848543971776962,21,5376,3042.7603347809054,344064
78.94,0.26,113,0.007685223,0.10001627,2.487077,-0.011478744,0.06138419,0.6671308875083923,22,5632,3187.52322718082,360448
72.31,0.34,113,0.0088559035,0.106648766,2.4577124,-0.009673312,0.062356774,0.7604823410511017,23,5888,3332.2146670068614,376832
74.6,0.59,113,0.008316965,0.10870361,2.440313,-0.011063549,0.057693567,0.7756516337394714,24,6144,3476.895431934856,393216
78.22,0.43,112,0.008849447,0.11488851,2.3947597,-0.011913632,0.052565828,0.7811914384365082,25,6400,3621.9265315686353,409600
80.93,0.69,113,0.00827516,0.10917155,2.3979177,-0.011771265,0.039107338,0.8220271319150925,26,6656,3766.7624451178126,425984
77.08,0.92,112,0.010624363,0.13433838,2.3883426,-0.010765183,0.039078742,0.8002043664455414,27,6912,3911.9175070356578,442368
76.93,0.91,113,0.008898095,0.12143961,2.3258438,-0.011823005,0.03183771,0.8617925047874451,28,7168,4056.6690044365823,458752
75.22,1.04,113,0.011278228,0.14695232,2.331875,-0.01225083,0.043093484,0.7895150631666183,29,7424,4201.642204329837,475136
76.52,1.11,112,0.008782485,0.11541748,2.3344035,-0.011800296,0.043513585,0.8048547357320786,30,7680,4346.699087725021,491520
75.35,1.05,113,0.010751826,0.13553874,2.3260193,-0.00945993,0.030727351,0.8690761923789978,31,7936,4491.485081246588,507904
81.03,1.28,112,0.010863569,0.14870198,2.266949,-0.012326355,0.033921085,0.8210016489028931,32,8192,4636.479091855697,524288
79.15,1.11,113,0.011391472,0.1474406,2.2744277,-0.01211309,0.043464452,0.8199042230844498,33,8448,4781.109953060746,540672
75.83,1.23,113,0.010105347,0.12978108,2.244892,-0.011632968,0.029076293,0.8535158783197403,34,8704,4925.779475661926,557056
81.09,1.39,112,0.010692392,0.13979085,2.280132,-0.008006073,0.035188626,0.8540973961353302,35,8960,5070.850923476741,573440
78.32,1.33,112,0.010766615,0.13533528,2.3012054,-0.01356351,0.03784466,0.8164157271385193,36,9216,5216.14356314484,589824
83.72,1.27,113,0.011517187,0.142924,2.2838237,-0.011414389,0.035557996,0.8313356339931488,37,9472,5360.7880755048245,606208
78.83,1.29,112,0.010949935,0.13572185,2.2611449,-0.0132429255,0.039108913,0.8588437438011169,38,9728,5505.857059726957,622592
78.28,1.63,113,0.011529225,0.14379883,2.2544658,-0.013698429,0.032418642,0.8818355947732925,39,9984,5650.4579380257055,638976
83.44,1.97,112,0.010927689,0.13625081,2.2612474,-0.013248819,0.027439443,0.9018121436238289,40,10240,5795.590018833987,655360
80.77,1.5,113,0.012200944,0.14978027,2.2540684,-0.0140685765,0.025021175,0.9061087891459465,41,10496,5940.37379869679,671744
75.13,1.3,113,0.01111721,0.14225261,2.2529476,-0.012956016,0.0478279,0.8251839280128479,42,10752,6085.134574149735,688128
86.77,1.58,113,0.013776441,0.16066487,2.280969,-0.014346757,0.027463837,0.9019797816872597,43,11008,6229.870979566593,704512
