eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
76.28,-2.56,112,0.00065560103,0.0,2.70737,-0.0009224761,0.34907278,-0.031636834144592285,1,256,145.9145721886307,16384
82.61,-2.3,113,0.0020072914,0.01981608,2.70166,-0.0014999091,0.18731712,0.0466541051864624,2,512,290.8038903758861,32768
83.86,-3.02,112,0.00214307,0.021077475,2.688077,-0.00084886764,0.17930305,0.12746018171310425,3,768,435.9914555409923,49152
78.16,-1.19,112,0.0039956314,0.027160645,2.674958,-0.0009989248,0.121472426,0.14344078302383423,4,1024,581.5061367107555,65536
73.77,-1.76,112,0.0019495595,0.009521484,2.664736,-0.0011414889,0.14374618,0.23712599277496338,5,1280,726.5430091395974,81920
79.91,-2.36,112,0.0022310081,0.013712565,2.6520581,-0.0020270208,0.16706364,0.31865978240966797,6,1536,871.5899657309055,98304
77.76,-1.13,112,0.003555204,0.01900228,2.6281452,-0.002281867,0.10695305,0.33941423892974854,7,1792,1016.7743425047956,114688
77.92,-0.98,113,0.003485822,0.0359904,2.633558,-0.005536158,0.08107643,0.429517924785614,8,2048,1161.1996946097352,131072
74.65,-0.8,113,0.0035595691,0.030782064,2.648904,-0.0042045843,0.08320123,0.4739740490913391,9,2304,1306.1442875619978,147456
79.22,-1.1,113,0.005341171,0.057963055,2.6152675,-0.0067977193,0.08083496,0.5460648834705353,10,2560,1451.0707509927452,163840
75.56,-1.41,112,0.004447864,0.04642741,2.6223955,-0.0065560997,0.09830671,0.5150591135025024,11,2816,1596.5101567129605,180224
78.52,-0.07,113,0.005408875,0.059814453,2.599996,-0.009679276,0.06977534,0.6360633373260498,12,3072,1741.271984149702,196608
76.6,-0.66,113,0.0063917134,0.07533773,2.5677967,-0.010598496,0.0707412,0.6559796035289764,13,3328,1885.8491548709571,212992
79.4,-0.04,113,0.0070392503,0.08937582,2.5706036,-0.010342589,0.058005672,0.706831306219101,14,3584,2030.8026420678943,229376
78.91,-0.24,112,0.006222731,0.07334391,2.53841,-0.010558351,0.06152807,0.6585315465927124,15,3840,2176.107062297873,245760
71.91,0.73,113,0.0077248425,0.100138344,2.536791,-0.011438145,0.042406145,0.6636338531970978,16,4096,2320.8429907755926,262144
80.75,0.25,112,0.008198676,0.10776774,2.5477457,-0.012711373,0.055377785,0.5760992467403412,17,4352,2465.8454861086793,278528
83.9,0.49,112,0.008612721,0.11456299,2.544636,-0.009778711,0.056449696,0.5890662968158722,18,4608,2610.9769526766613,294912
77.99,0.56,112,0.008512796,0.10839844,2.5282166,-0.009781529,0.05041239,0.6168341636657715,19,4864,2756.7005411898717,311296
76.23,0.61,113,0.009143041,0.11930338,2.5306904,-0.011866557,0.045303058,0.6582238972187042,20,5120,2901.532644486986,327680
82.47,0.61,113,0.009555459,0.13157146,2.5085137,-0.013840538,0.061947107,0.6301567256450653,21,5376,3046.3284638016485,344064
81.88,0.84,113,0.008879591,0.117248535,2.4869535,-0.012208838,0.038335476,0.7161828279495239,22,5632,3191.1256502908655,360448
81.08,1.16,112,0.0078000124,0.100972496,2.4882605,-0.013216164,0.033080153,0.7575757503509521,23,5888,3337.390960360877,376832
81.41,0.97,112,0.010546875,0.14054362,2.4694726,-0.013265138,0.050762713,0.7135604023933411,24,6144,3482.6105130389333,393216
75.85,1.12,112,0.009694648,0.12463379,2.4557018,-0.012910991,0.03948273,0.7864250540733337,25,6400,3627.6204887256026,409600
82.73,1.13,112,0.012085351,0.15663655,2.4488308,-0.013521609,0.04721396,0.7429913282394409,26,6656,3772.764924504794,425984
87.92,1.21,112,0.010944939,0.13789876,2.4321897,-0.01488404,0.057305396,0.7259710729122162,27,6912,3917.9133653878234,442368
83.33,1.32,112,0.010362881,0.13739014,2.396932,-0.012157083,0.043815743,0.7747787833213806,28,7168,4063.3780930070207,458752
89.63,1.59,112,0.010967636,0.14849854,2.403341,-0.01470291,0.046502654,0.7758556306362152,29,7424,4208.407534910832,475136
87.83,1.68,112,0.013283852,0.17134602,2.376548,-0.010296187,0.037310474,0.7988331317901611,30,7680,4353.5605730586685,491520
86.6,1.78,112,0.0127699645,0.16658528,2.3604813,-0.014405997,0.04417983,0.78452168405056,31,7936,4498.820384162944,507904
87.43,1.63,112,0.013052142,0.16249593,2.3153737,-0.014326457,0.043828692,0.7963099181652069,32,8192,4643.9046125649475,524288
91.5,1.8,112,0.012524206,0.16892497,2.3176444,-0.011163625,0.045053292,0.8089962601661682,33,8448,4789.9953742958605,540672
85.65,1.81,113,0.011428592,0.15230305,2.2908206,-0.015382782,0.029720208,0.8805776834487915,34,8704,4934.7439124807715,557056
91.74,1.59,112,0.015015031,0.17195638,2.2972815,-0.013341694,0.052033737,0.7803737968206406,35,8960,5080.798081220593,573440
82.83,1.95,113,0.010999337,0.1451416,2.278238,-0.014320641,0.038514014,0.8603994250297546,36,9216,5225.66600161884,589824
94.1,2.23,112,0.011588835,0.15386963,2.261927,-0.014820962,0.033653274,0.866561084985733,37,9472,5371.352745209821,606208
