eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
81.56,-3.2,114,9.370848e-05,0.0,2.707957,-0.00014566538,0.39858973,-0.2766324281692505,1,256,143.61572592612356,16384
85.24,-2.64,111,4.3431166e-05,0.0,2.7074585,-0.00020641492,0.16965322,0.09530198574066162,2,512,290.61574342800304,32768
85.76,-2.43,114,7.740551e-05,0.0,2.7072878,-0.0002737878,0.13863923,0.1840747594833374,3,768,433.91691284114495,49152
80.55,-2.7,114,0.00037432453,0.0,2.7058992,-0.00077382993,0.14180182,0.25150036811828613,4,1024,577.2073080479167,65536
85.06,-2.14,114,0.0020333086,0.012145996,2.697203,-0.002183492,0.11492333,0.3242390751838684,5,1280,720.480464858003,81920
77.32,-2.21,114,0.002377643,0.007486979,2.6821353,-0.0018307852,0.108551644,0.37109804153442383,6,1536,863.7895000991412,98304
78.8,-1.96,114,0.0024728912,0.010335286,2.6749659,-0.0020985978,0.10431454,0.4672721028327942,7,1792,1007.0800769068301,114688
82.79,-1.63,114,0.0032951224,0.020670572,2.654762,-0.0027775795,0.10192401,0.5493526458740234,8,2048,1150.4555031461641,131072
80.44,-1.45,113,0.0040285126,0.024210611,2.6485417,-0.0041834335,0.08859057,0.5571282804012299,9,2304,1294.4057465521619,147456
76.3,-1.62,114,0.003088763,0.022562662,2.639357,-0.004228442,0.0886338,0.6402965188026428,10,2560,1437.7561510498635,163840
79.42,-1.52,114,0.003811252,0.03253174,2.6236868,-0.0043612286,0.078891,0.6906522512435913,11,2816,1581.2540161740035,180224
79.28,-1.6,114,0.0035730228,0.033894856,2.6130664,-0.0057014707,0.07472581,0.6242557168006897,12,3072,1724.5175512288697,196608
79.41,-0.78,114,0.003020923,0.022521973,2.5944786,-0.0048118415,0.060629304,0.7226987779140472,13,3328,1867.7933012400754,212992
82.86,-0.92,114,0.0043099797,0.040303547,2.5864367,-0.006587379,0.050463676,0.7209190428256989,14,3584,2011.1222062380984,229376
79.96,-0.38,114,0.004929131,0.04888916,2.5653458,-0.0067166532,0.05468364,0.7106249332427979,15,3840,2154.519863998983,245760
