eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
87.52,-2.52,58,0.00012896648,0.0,2.7079017,-0.0002665039,0.40384474,-0.21351981163024902,1,256,280.98888122383505,16384
82.59,-2.13,58,0.00020186526,0.0,2.706661,-0.00013702897,0.17152864,0.023715317249298096,2,512,561.3015658822842,32768
84.11,-2.42,58,0.00013798718,0.0,2.7058363,-0.00046592238,0.15051436,0.09755265712738037,3,768,840.848694615066,49152
84.53,-2.37,58,0.00014691723,0.0,2.7059345,-0.0002867724,0.1516699,0.19480359554290771,4,1024,1121.097601749003,65536
84.85,-2.17,58,0.0007173393,0.0,2.7031233,-0.0011922775,0.13311934,0.2700797915458679,5,1280,1401.5072751310654,81920
83.16,-1.24,58,0.0008913589,0.0019938152,2.6997669,-0.001597458,0.11080732,0.3362208604812622,6,1536,1682.1455838382244,98304
91.27,-2.22,58,0.0013774935,0.006327311,2.684354,-0.0009047365,0.1321802,0.41128766536712646,7,1792,1962.51714163227,114688
79.83,-2.03,58,0.002351116,0.015645346,2.676317,-0.0038427983,0.109636754,0.4427102208137512,8,2048,2242.6083477661014,131072
84.51,-1.74,58,0.0025743758,0.01776123,2.6765013,-0.004451789,0.0920374,0.5137215554714203,9,2304,2523.0327299050987,147456
82.66,-1.6,58,0.002658664,0.019877115,2.675822,-0.0050233975,0.08927917,0.5699551403522491,10,2560,2802.89942971617,163840
83.62,-0.87,58,0.0041739233,0.04062907,2.6577852,-0.0062242243,0.08089066,0.6046324074268341,11,2816,3082.906467380002,180224
81.8,-1.1,58,0.004700068,0.05061849,2.6487308,-0.007646704,0.08640761,0.6003532707691193,12,3072,3362.964633065276,196608
83.42,-0.74,58,0.0035215325,0.03383382,2.6343398,-0.00728935,0.068586595,0.67550128698349,13,3328,3643.6249908842146,212992
83.79,-0.31,58,0.004168526,0.043701172,2.6195886,-0.009578251,0.06494867,0.6339831352233887,14,3584,3923.4111996628344,229376
84.44,-0.71,58,0.005056382,0.052449543,2.598994,-0.009626504,0.06117456,0.6532811224460602,15,3840,4204.077704042196,245760
78.03,0.01,58,0.0063124024,0.07206217,2.5822475,-0.008917478,0.05174531,0.6077963709831238,16,4096,4484.337377826218,262144
75.28,-0.18,58,0.0075414777,0.09340414,2.5716739,-0.011385231,0.054024514,0.6367024779319763,17,4352,4764.755807841197,278528
76.94,0.18,58,0.007949813,0.09844971,2.5465534,-0.011232651,0.06020923,0.5232152342796326,18,4608,5044.705099515151,294912
82.5,0.47,58,0.008478297,0.10986328,2.5356057,-0.013720901,0.042241454,0.5521411001682281,19,4864,5324.764928753022,311296
78.91,0.38,58,0.010207898,0.13427734,2.5236201,-0.010776113,0.03716242,0.5678427517414093,20,5120,5605.497745234054,327680
76.46,0.42,58,0.011178016,0.14776611,2.5192392,-0.010270967,0.039207574,0.5671229064464569,21,5376,5885.822466406971,344064
80.39,0.8,58,0.008982445,0.11537679,2.5046515,-0.014850661,0.036599185,0.6249845921993256,22,5632,6165.314202974085,360448
82.48,0.93,58,0.009704049,0.12837727,2.520912,-0.015659377,0.033551704,0.6046748459339142,23,5888,6445.46772280708,376832
