eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
88.49,-2.35,1572,0.00329661,0.01780192,2.7046804,-0.0013371868,0.31029385,0.01880437135696411,1,256,10.42023010412231,16384
81.01,-2.23,1613,0.00095222244,0.0019938152,2.7002916,-0.0007219832,0.20363182,-0.012309551239013672,2,512,20.717320433817804,32768
83.32,-2.38,1612,0.0008674785,8.138021e-05,2.6969945,-0.00073493907,0.16058797,0.0645761489868164,3,768,30.876380557194352,49152
81.81,-1.46,1616,0.0011858364,0.0036824543,2.6965551,-0.0012034472,0.14297093,0.038222670555114746,4,1024,41.01363253686577,65536
86.35,-2.24,1608,0.001496466,0.0069376626,2.6963108,-0.0013741031,0.1614693,0.02171945571899414,5,1280,51.201766446232796,81920
81.1,-1.4,1621,0.0015136505,0.0034383137,2.6953497,-0.0015092953,0.1502845,-0.0024406909942626953,6,1536,61.30729458807036,98304
79.98,-2.11,1605,0.002496382,0.011271159,2.6848314,-0.0016162163,0.14852978,0.011638224124908447,7,1792,71.51521595520899,114688
86.63,-2.53,1607,0.0031633254,0.016682943,2.6681077,-0.0021011604,0.14377168,0.04069864749908447,8,2048,81.71008393587545,131072
83.12,-1.83,1589,0.002485661,0.011047363,2.664373,-0.0019201766,0.14466359,0.08102303743362427,9,2304,92.01532527105883,147456
84.11,-2.41,1600,0.0043580937,0.026774088,2.660505,-0.0031751767,0.15629618,0.10340368747711182,10,2560,102.2541913818568,163840
83.77,-1.85,1604,0.0037156828,0.025919596,2.642987,-0.0031566508,0.14607628,0.15689605474472046,11,2816,112.46372248418629,180224
85.34,-2.17,1608,0.0038961703,0.031229654,2.6214643,-0.0034160304,0.13658209,0.1859535574913025,12,3072,122.64908512402326,196608
77.92,-1.03,1605,0.004876138,0.039489746,2.641981,-0.003578381,0.12626736,0.1944153904914856,13,3328,132.8527487772517,212992
79.89,-2.64,1608,0.0038553246,0.033793133,2.6168242,-0.0044742483,0.14111565,0.25091278553009033,14,3584,143.0360913029872,229376
83.71,-2.06,1609,0.0049899113,0.041585285,2.6119218,-0.004374338,0.12853381,0.29729825258255005,15,3840,153.21864071814343,245760
84.8,-2.05,1602,0.0043565114,0.03564453,2.612297,-0.004271343,0.13182275,0.33253878355026245,16,4096,163.44120752904564,262144
84.9,-2.26,1606,0.004967036,0.04506429,2.5976367,-0.004655656,0.13213997,0.3330201506614685,17,4352,173.64183002524078,278528
80.87,-2.36,1613,0.0038758244,0.028177897,2.5892882,-0.004719778,0.119115435,0.3675556778907776,18,4608,183.79567634500563,294912
77.53,-2.31,1612,0.004539303,0.0343221,2.5955443,-0.0053079617,0.14216906,0.34506911039352417,19,4864,193.95910094724968,311296
83.18,-1.96,1613,0.0037582777,0.026204428,2.5990052,-0.0041864975,0.14206414,0.3751157522201538,20,5120,204.11315550096333,327680
77.64,-1.84,1612,0.0058379495,0.055989582,2.595242,-0.006739792,0.13362308,0.3648756146430969,21,5376,214.27242766413838,344064
82.34,-2.15,1610,0.004094868,0.03371175,2.600869,-0.005403135,0.12232909,0.3860796093940735,22,5632,224.44335211301222,360448
