eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
79.38,-2.42,92,0.0001392404,0.0,2.707917,-0.0002634106,0.27590898,-0.0009578466415405273,1,256,176.69713566359133,16384
80.65,-3.18,92,6.290386e-05,0.0,2.7077553,-0.00023258467,0.13305864,0.02049320936203003,2,512,353.1237511537038,32768
79.33,-2.12,92,0.000193001,0.0,2.7073333,-0.00035736198,0.115078665,0.06937223672866821,3,768,529.8094325927086,49152
78.19,-2.71,93,0.00024197433,0.0,2.7061155,-0.0005175199,0.11968323,0.1447485089302063,4,1024,705.7872869758867,65536
85.95,-2.14,93,0.0024719834,0.016784668,2.6997,-0.0022968678,0.085217424,0.2622414827346802,5,1280,881.7966897976585,81920
79.67,-2.38,93,0.0022421477,0.012064616,2.6925194,-0.0023688674,0.097859226,0.3250753879547119,6,1536,1057.3853268618695,98304
80.55,-2.2,93,0.0054199975,0.035441082,2.669831,-0.0057548727,0.084041364,0.4704526662826538,7,1792,1233.4428358050063,114688
75.78,-1.42,92,0.0036610505,0.024190268,2.6619432,-0.005170384,0.08007766,0.48252326250076294,8,2048,1409.7005737656727,131072
77.08,-0.88,93,0.0043840627,0.03881836,2.6586406,-0.0059184344,0.07331993,0.5569890141487122,9,2304,1585.836765952874,147456
79.94,-1.11,93,0.0035955624,0.031311035,2.6502168,-0.005760753,0.05745463,0.5849035382270813,10,2560,1761.8812520615757,163840
77.66,-1.45,92,0.0049807224,0.05094401,2.6289594,-0.008168918,0.060011525,0.5904310047626495,11,2816,1938.156717037782,180224
76.0,-0.97,93,0.00517026,0.054178875,2.6244557,-0.008345052,0.04287525,0.6448632180690765,12,3072,2114.0882734628394,196608
76.74,-0.49,93,0.0046143704,0.049906414,2.6242282,-0.008690531,0.045862954,0.6585159003734589,13,3328,2290.1431538988836,212992
75.0,-0.08,93,0.0056546982,0.06866455,2.6083305,-0.009537506,0.04185699,0.612876832485199,14,3584,2466.2337299799547,229376
77.01,0.05,92,0.006339606,0.07761637,2.6183403,-0.011314001,0.046218123,0.5334326326847076,15,3840,2642.6030052416027,245760
78.4,-0.13,92,0.0066623916,0.085245766,2.6072953,-0.010842036,0.044584017,0.5586679577827454,16,4096,2818.8363091056235,262144
76.58,-0.18,92,0.0064884094,0.082458496,2.593138,-0.012697191,0.05646432,0.5683553814888,17,4352,2995.5047350595705,278528
82.2,0.36,92,0.007191775,0.09098307,2.5821426,-0.01364379,0.04309762,0.6091175973415375,18,4608,3171.847009855788,294912
83.44,0.69,92,0.0077428124,0.10129801,2.5788114,-0.013814894,0.03797326,0.5798951983451843,19,4864,3348.022484249901,311296
80.71,0.76,93,0.008747383,0.11161295,2.5622804,-0.012262401,0.03775755,0.6269112825393677,20,5120,3524.052708748728,327680
81.55,0.64,93,0.008878862,0.1116333,2.5541704,-0.011636954,0.03154437,0.6530640423297882,21,5376,3700.141164482571,344064
86.1,1.45,92,0.008984462,0.11464437,2.5349305,-0.01563544,0.032457232,0.6963907480239868,22,5632,3876.4204798615538,360448
76.58,0.94,93,0.008671577,0.11519369,2.5333395,-0.015165833,0.029163986,0.6865875422954559,23,5888,4052.5212148139253,376832
75.69,1.13,91,0.010414611,0.134257,2.519368,-0.010207771,0.024165282,0.7562670409679413,24,6144,4232.073937426787,393216
