eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
84.03,-2.41,113,0.00019531844,0.0,2.707862,-0.00045148446,0.3162323,0.018199145793914795,1,256,143.8840570100583,16384
81.03,-2.27,114,0.0005807785,0.0,2.706214,-0.0010072993,0.17032288,0.06277257204055786,2,512,287.25747284386307,32768
75.73,-1.36,114,0.0043805363,0.032267254,2.6895998,-0.0027000308,0.11641568,0.12351518869400024,3,768,430.5581466378644,49152
79.15,-1.47,114,0.005172672,0.024475098,2.6646724,-0.0025574241,0.11008992,0.16045957803726196,4,1024,573.7160655427724,65536
75.79,-1.33,114,0.0050710957,0.033528645,2.6674824,-0.0036246683,0.10237631,0.3408174514770508,5,1280,716.9358365568332,81920
76.08,-1.32,114,0.003434372,0.020874023,2.6569421,-0.003315565,0.10092437,0.42102688550949097,6,1536,860.2714406740852,98304
73.71,-1.98,114,0.0027251195,0.013895671,2.6709547,-0.0046722274,0.11614629,0.46209269762039185,7,1792,1003.5415537278168,114688
74.49,-1.17,114,0.0034967514,0.030029297,2.6557832,-0.006232992,0.08978388,0.6027382910251617,8,2048,1146.77575178165,131072
72.29,-0.7,114,0.0049261763,0.05122884,2.6429946,-0.0073909867,0.073282726,0.5998364388942719,9,2304,1290.0657903016545,147456
78.73,-0.79,114,0.0048025097,0.04522705,2.6422384,-0.008388344,0.07325397,0.7151178121566772,10,2560,1433.4384127138183,163840
73.45,-0.56,114,0.0053963806,0.05731201,2.6289203,-0.008723146,0.058750425,0.751176118850708,11,2816,1576.7856125771068,180224
79.08,-0.47,114,0.006217018,0.07397461,2.6129405,-0.009518421,0.064417265,0.7572952210903168,12,3072,1720.1727233207785,196608
76.94,-0.15,114,0.005788762,0.06754557,2.5847008,-0.010212192,0.056034874,0.6967962980270386,13,3328,1863.4936732319184,212992
74.36,-0.1,114,0.005663475,0.063435875,2.5854962,-0.009986294,0.051960886,0.7480019330978394,14,3584,2006.8445731499232,229376
74.74,-0.16,114,0.0073718964,0.09436035,2.5664885,-0.010438866,0.058598276,0.8166472911834717,15,3840,2150.1472826460376,245760
70.86,-0.5,114,0.006758492,0.085245766,2.5666883,-0.012161631,0.0729351,0.7709051370620728,16,4096,2293.7830485929735,262144
84.62,0.09,114,0.006671024,0.08150228,2.5599396,-0.013242419,0.083506234,0.6554990112781525,17,4352,2437.1228554761037,278528
75.22,0.1,114,0.0071433266,0.09075928,2.5697687,-0.012018514,0.052971635,0.8167915493249893,18,4608,2580.450288112741,294912
80.2,0.45,114,0.008511203,0.11075846,2.5607386,-0.012919232,0.070166044,0.6228421628475189,19,4864,2723.7850687587634,311296
