eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
81.35,-2.11,94,0.00047042745,0.0,2.7075622,-0.00076939113,0.3338132,-0.006852507591247559,1,256,173.6751005621627,16384
83.03,-2.42,94,0.00020529424,0.0,2.7064192,-0.00046706092,0.17180926,0.0413130521774292,2,512,347.4132554861717,32768
83.64,-2.85,94,0.0011989068,0.003458659,2.704007,-0.0014567202,0.16893454,0.07341790199279785,3,768,520.8654746441171,49152
80.24,-1.91,94,0.0033832646,0.015889486,2.6906366,-0.0022592298,0.12384986,0.17258745431900024,4,1024,694.0636921199039,65536
81.06,-1.45,94,0.0033909443,0.022542318,2.680332,-0.0032875605,0.108555734,0.29233407974243164,5,1280,867.0713762352243,81920
78.65,-2.0,94,0.0048678643,0.04168701,2.6544893,-0.004080158,0.12616251,0.3628908395767212,6,1536,1040.0696842488833,98304
76.47,-1.4,94,0.0062115453,0.038208008,2.617459,-0.0051483293,0.08915853,0.5072279870510101,7,1792,1213.1345014488325,114688
69.82,-1.75,94,0.003340329,0.023763021,2.5957148,-0.005617865,0.08287485,0.5808481276035309,8,2048,1386.38271881314,131072
76.97,-0.78,94,0.004587612,0.040608723,2.5996456,-0.0064199422,0.07778339,0.5725934505462646,9,2304,1559.5059896009043,147456
72.47,-0.71,94,0.004930186,0.053243,2.6064975,-0.007995368,0.074325,0.6431699395179749,10,2560,1732.6551804039627,163840
76.18,-0.57,94,0.004318726,0.042622883,2.5986438,-0.007511076,0.074465096,0.6857526004314423,11,2816,1905.6149912648834,180224
76.95,-0.52,94,0.005094066,0.052388508,2.5892205,-0.008601037,0.057556733,0.7331960499286652,12,3072,2078.828053210862,196608
75.25,0.1,94,0.004786685,0.051005047,2.5811121,-0.008929272,0.05437766,0.6954817473888397,13,3328,2252.212115166243,212992
73.02,-0.22,94,0.0058967397,0.06713867,2.567384,-0.010315877,0.05828129,0.6814731359481812,14,3584,2425.3214939120226,229376
76.99,-0.17,94,0.007840628,0.10394287,2.5649097,-0.010499985,0.059859004,0.7572374790906906,15,3840,2598.5156646128744,245760
74.99,-0.08,94,0.0066386075,0.07727051,2.5516908,-0.011096605,0.056746963,0.7381111085414886,16,4096,2771.684585846029,262144
82.77,0.44,94,0.006195616,0.07857259,2.5587707,-0.010441825,0.034755122,0.7864973247051239,17,4352,2944.9868802209385,278528
78.18,0.61,94,0.006587805,0.08256022,2.5596812,-0.012030701,0.06278717,0.7030864953994751,18,4608,3118.23946028715,294912
76.2,0.27,94,0.007831955,0.09999593,2.55075,-0.011515214,0.056473985,0.6520159840583801,19,4864,3291.243453173898,311296
76.42,0.61,94,0.007821126,0.09604899,2.5452678,-0.013255224,0.05763945,0.6061578691005707,20,5120,3464.4731979439966,327680
79.38,0.76,94,0.007711768,0.09950765,2.55347,-0.01158226,0.054229703,0.6965472400188446,21,5376,3637.7679940168746,344064
83.81,0.96,94,0.0094894925,0.12054443,2.5341847,-0.013582431,0.045885112,0.7030685544013977,22,5632,3810.778080884833,360448
80.87,0.7,94,0.010831245,0.13745117,2.557489,-0.013803276,0.060117427,0.6687493026256561,23,5888,3983.9427648470737,376832
82.28,1.16,94,0.007924271,0.0993042,2.5458763,-0.014151253,0.04402652,0.7107632160186768,24,6144,4156.883634713013,393216
83.78,1.06,94,0.009943285,0.13411458,2.5476682,-0.010811995,0.039738644,0.7560285925865173,25,6400,4329.4492054590955,409600
83.45,1.25,94,0.00782313,0.10005697,2.5333974,-0.014106229,0.04038374,0.740997701883316,26,6656,4502.349085561931,425984
79.02,0.42,94,0.0085846195,0.11142985,2.537289,-0.012847516,0.060077135,0.6873606741428375,27,6912,4675.257518230006,442368
