eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
73.88172043010752,-2.483871,110,0.00022805849,0.0,2.707863,-0.0005016188,0.329971,-0.02293241024017334,1,256,74.29864423302934,8192
76.05,-2.2,110,0.00070089934,0.0015055338,2.7060316,-0.0012985279,0.15818697,0.04576784372329712,2,512,148.2541651376523,16384
77.59,-2.33,110,0.001359697,0.003133138,2.6989908,-0.001657635,0.1371815,0.15889430046081543,3,768,222.35949163371697,24576
82.07,-2.19,111,0.0042487206,0.036987305,2.6826603,-0.0043073283,0.15479456,0.230421245098114,4,1024,295.89370537595823,32768
74.92,-1.2,111,0.0037773512,0.025024414,2.6698043,-0.0035662986,0.12382451,0.35853391885757446,5,1280,369.1654849778861,40960
74.0,-1.59,111,0.004183563,0.03889974,2.651746,-0.004897798,0.10860442,0.43337714672088623,6,1536,442.56809698976576,49152
75.85,-1.46,111,0.0041689607,0.03930664,2.6272585,-0.0043061334,0.10515498,0.4703165888786316,7,1792,515.8054989660159,57344
72.3,-1.53,111,0.005861446,0.053914387,2.6287775,-0.0077282693,0.11420736,0.5337401330471039,8,2048,589.3359979148954,65536
73.7,-1.15,111,0.004200093,0.040608723,2.6072495,-0.0060460563,0.08593743,0.6301704347133636,9,2304,662.6817198367789,73728
74.73,-0.96,111,0.00438786,0.039469402,2.595452,-0.0061993827,0.08270347,0.6486396789550781,10,2560,736.3240790539421,81920
76.05,-1.12,110,0.00393844,0.040405273,2.621583,-0.008697398,0.08058817,0.6896171271800995,11,2816,810.2040079967119,90112
75.63,-1.09,110,0.0035744652,0.0320638,2.6176393,-0.0078339735,0.088549055,0.6656739711761475,12,3072,884.0555280409753,98304
73.34,-1.35,111,0.004971635,0.057942707,2.6149209,-0.011155251,0.09096143,0.758307695388794,13,3328,957.4919177140109,106496
73.3,-1.21,111,0.0043922854,0.045288086,2.619241,-0.010860928,0.10464352,0.7308399677276611,14,3584,1030.769287722651,114688
75.7,-0.93,111,0.00511738,0.056925457,2.6008787,-0.011860135,0.062229406,0.8055876791477203,15,3840,1104.381737772841,122880
74.41,-0.46,110,0.005842486,0.06599935,2.6041017,-0.012141898,0.076334335,0.7926632016897202,16,4096,1178.212632539682,131072
81.11,-0.29,112,0.0062730643,0.071614586,2.6002805,-0.013031185,0.06632034,0.7814227789640427,17,4352,1251.291413265746,139264
74.42,-0.42,111,0.0060976692,0.07132975,2.5778568,-0.014390851,0.06735437,0.7661895155906677,18,4608,1324.973896143958,147456
75.23,-0.77,110,0.007839312,0.10148112,2.5894234,-0.01603755,0.085437775,0.7611952871084213,19,4864,1399.10346714966,155648
76.9,-1.11,111,0.005761162,0.067586266,2.6086595,-0.014838339,0.12272353,0.6406162977218628,20,5120,1472.393094588071,163840
82.11,-0.33,111,0.008644473,0.11116537,2.5660203,-0.017992571,0.065293975,0.6612438559532166,21,5376,1545.7490721018985,172032
73.33,-0.12,111,0.0069801477,0.08935547,2.562756,-0.017882569,0.04294513,0.7591752856969833,22,5632,1619.471875066869,180224
77.22,-0.14,111,0.008004338,0.10583496,2.5499198,-0.016703775,0.076882266,0.7011184096336365,23,5888,1692.9178833179176,188416
78.33,0.07,111,0.0073251133,0.09440104,2.5535948,-0.015185953,0.07105653,0.6971144676208496,24,6144,1766.5988964387216,196608
77.21,0.24,111,0.008412958,0.111572266,2.5434601,-0.019508798,0.054658204,0.6597689092159271,25,6400,1840.0510761127807,204800
75.38,-0.26,112,0.008333576,0.11112467,2.513239,-0.017812422,0.073970705,0.739645779132843,26,6656,1913.0457827239297,212992
77.26,0.21,111,0.009046319,0.11893717,2.5339408,-0.016883569,0.071904324,0.7089111804962158,27,6912,1986.760613063816,221184
80.65,-0.12,111,0.009134056,0.12243652,2.5016932,-0.017506432,0.07494571,0.47326868772506714,28,7168,2060.5420510899276,229376
77.79,0.71,111,0.009369804,0.123697914,2.5311515,-0.019065985,0.06268859,0.6358212232589722,29,7424,2134.1467248359695,237568
85.0,0.18,111,0.010498088,0.1315918,2.5073638,-0.01910533,0.09739352,0.6867183148860931,30,7680,2207.814549815841,245760
77.21,0.63,111,0.01105713,0.14685059,2.4949787,-0.01943388,0.04656278,0.785507008433342,31,7936,2281.2176928087138,253952
76.86,0.07,110,0.011930245,0.16772461,2.4713395,-0.018142296,0.09412498,0.6174914240837097,32,8192,2355.0434027779847,262144
77.15,1.13,111,0.010609095,0.1459961,2.4972959,-0.021217765,0.049413983,0.7248089909553528,33,8448,2428.2001362666488,270336
74.03,0.78,112,0.010453723,0.14160156,2.4652078,-0.019349607,0.06479111,0.6389546096324921,34,8704,2501.244154171087,278528
80.29,0.98,111,0.0114850765,0.15063477,2.4225523,-0.016787698,0.05362116,0.7303664088249207,35,8960,2574.832120299805,286720
76.71,1.0,110,0.01271931,0.16516113,2.4543614,-0.021949945,0.046273466,0.7077586948871613,36,9216,2648.664581260644,294912
76.2,0.4,110,0.015231715,0.19038899,2.4286597,-0.014110372,0.06220621,0.5990643501281738,37,9472,2722.870809080079,303104
74.38,0.98,111,0.012273114,0.16564941,2.4631484,-0.01758013,0.050256375,0.6690558791160583,38,9728,2796.5490849199705,311296
77.13,1.43,111,0.014039267,0.18046062,2.3915894,-0.018996453,0.040639225,0.7468012571334839,39,9984,2869.9297471460886,319488
78.3,0.57,111,0.01172097,0.15279134,2.4504185,-0.021984989,0.093700886,0.5600457489490509,40,10240,2943.5764512456954,327680
85.03,1.03,111,0.013584378,0.17565918,2.4126544,-0.021579683,0.058622066,0.7133713960647583,41,10496,3017.3693158589303,335872
78.28,1.08,111,0.013127886,0.17871094,2.4153264,-0.019603921,0.051701512,0.780847042798996,42,10752,3090.720414187759,344064
81.02,1.34,111,0.015179801,0.18513997,2.3903494,-0.019169053,0.06159131,0.7005314230918884,43,11008,3164.3089631577022,352256
81.41,1.35,111,0.0123857,0.16223145,2.4292033,-0.022437083,0.037824456,0.7744039595127106,44,11264,3238.0313095226884,360448
81.75,1.25,111,0.01555534,0.1875407,2.3836074,-0.022936722,0.052539762,0.7480865120887756,45,11520,3311.8126880247146,368640
82.8,1.26,111,0.014210026,0.19010417,2.3664815,-0.019882198,0.04712483,0.7546180337667465,46,11776,3385.269058997743,376832
87.52,1.57,111,0.012933004,0.16878255,2.3855364,-0.020677028,0.051829826,0.7495207488536835,47,12032,3458.8412028518505,385024
86.4,0.96,110,0.015504014,0.20304362,2.3986204,-0.021213243,0.066405825,0.6949781179428101,48,12288,3532.6492065759376,393216
83.09,1.88,111,0.012667053,0.16373698,2.4040306,-0.016975805,0.04846779,0.738163024187088,49,12544,3606.062643331941,401408
90.73,1.39,111,0.0140632205,0.18062337,2.449033,-0.020483717,0.057709232,0.6943751871585846,50,12800,3679.4452267638408,409600
82.33,1.23,110,0.013145577,0.17541504,2.3966773,-0.021875354,0.04927637,0.7688526064157486,51,13056,3753.2716851169243,417792
81.42,1.56,111,0.012630723,0.16105144,2.3504815,-0.02298558,0.05234391,0.7842815667390823,52,13312,3826.9812661907636,425984
84.65,1.23,110,0.015462239,0.19820149,2.354564,-0.021436414,0.04763578,0.7542493939399719,53,13568,3900.83755119564,434176
89.15,1.43,111,0.014822598,0.17993164,2.3664925,-0.018779838,0.060343083,0.7750734090805054,54,13824,3974.514924830757,442368
99.08,1.92,111,0.01260424,0.16304524,2.3503833,-0.022055961,0.055275362,0.8242215514183044,55,14080,4047.7988436869346,450560
93.14,1.6,111,0.017331382,0.20031738,2.3416026,-0.01801077,0.043617237,0.8365313410758972,56,14336,4121.032200625632,458752
86.64,1.81,112,0.015056741,0.18404134,2.3604095,-0.021164991,0.051203955,0.8231783807277679,57,14592,4193.94160546409,466944
91.47,2.22,111,0.013426542,0.17569987,2.351267,-0.02485951,0.04751416,0.8274627178907394,58,14848,4267.1487023127265,475136
91.71,1.62,111,0.012402355,0.16145833,2.3410378,-0.025572097,0.039257124,0.8336783051490784,59,15104,4340.7303705420345,483328
84.87,1.63,111,0.016851073,0.2039388,2.313453,-0.019923586,0.061506685,0.8095077276229858,60,15360,4414.36146741081,491520
90.53,1.38,111,0.016153527,0.19051106,2.342776,-0.022741368,0.059156906,0.7717763334512711,61,15616,4487.81032465864,499712
92.32,1.5,111,0.018151492,0.21809895,2.337863,-0.0197512,0.048687648,0.8162484765052795,62,15872,4561.160054810811,507904
86.5,1.6,111,0.016824266,0.2142334,2.2507079,-0.021397932,0.067970246,0.8140034526586533,63,16128,4634.7189661916345,516096
92.61,1.96,110,0.015503611,0.19270833,2.2858315,-0.02208283,0.06374591,0.8166750520467758,64,16384,4708.784680807963,524288
94.96,2.18,110,0.01853804,0.20731609,2.2542794,-0.023176314,0.05771364,0.8630504459142685,65,16640,4782.616960323881,532480
88.93,2.01,111,0.016796703,0.20450847,2.303739,-0.023258643,0.04978917,0.8018186092376709,66,16896,4856.300448291935,540672
93.77,2.24,110,0.016117338,0.20853679,2.2949812,-0.022587085,0.036317326,0.8748355954885483,67,17152,4930.211508259643,548864
93.3,2.82,111,0.016296176,0.19649251,2.2693586,-0.025272533,0.042504866,0.8832056149840355,68,17408,5003.6967411129735,557056
92.92,2.29,107,0.015996566,0.20239258,2.273226,-0.02630844,0.0443915,0.8615870773792267,69,17664,5080.113261542749,565248
103.29,2.47,110,0.01555537,0.19470215,2.2452333,-0.027611488,0.038849074,0.8831423297524452,70,17920,5154.003395590931,573440
111.21,2.64,112,0.017323555,0.21309407,2.2678936,-0.028976245,0.041881174,0.8405795693397522,71,18176,5227.126602378674,581632
103.45,2.13,111,0.018890651,0.22273763,2.2738018,-0.026611025,0.042411517,0.8535447418689728,72,18432,5300.851547718979,589824
103.39,2.19,111,0.015961893,0.19649251,2.2625115,-0.027262026,0.0656772,0.823361948132515,73,18688,5374.603570595849,598016
101.41,2.29,111,0.019172857,0.22127278,2.251086,-0.025885308,0.047584787,0.856080174446106,74,18944,5447.7731248456985,606208
98.58,1.58,111,0.01730801,0.19991048,2.2323363,-0.025320098,0.09068818,0.7966292053461075,75,19200,5520.960137902759,614400
101.81,2.33,111,0.016888043,0.21529134,2.1887076,-0.027070485,0.040818915,0.8849273696541786,76,19456,5594.574245640077,622592
106.01,2.59,111,0.016897865,0.2163086,2.212074,-0.027563741,0.037851367,0.8843006640672684,77,19712,5667.894633269869,630784
104.43,2.4,111,0.020272559,0.22025554,2.1977274,-0.025307275,0.04814553,0.8783741593360901,78,19968,5741.135342049878,638976
103.93,2.34,111,0.018507704,0.22143555,2.163929,-0.024048572,0.041837648,0.9071929752826691,79,20224,5814.8341904729605,647168
105.99,2.98,110,0.01952771,0.234375,2.1735637,-0.029067822,0.043676645,0.906654492020607,80,20480,5888.784543327987,655360
108.81,2.61,112,0.024577761,0.23124187,2.209338,-0.021845674,0.06582668,0.8384072333574295,81,20736,5961.700821410865,663552
108.77,2.22,111,0.019192751,0.21797688,2.193795,-0.027369646,0.06899165,0.874435618519783,82,20992,6035.144953836687,671744
123.82,2.84,111,0.018628208,0.20910645,2.1565807,-0.027786532,0.07214785,0.8722880333662033,83,21248,6108.476702872664,679936
121.14,2.9,111,0.018182527,0.21138509,2.1537898,-0.030369105,0.04733576,0.9008700251579285,84,21504,6181.942393234,688128
130.99,3.05,111,0.023091147,0.25891113,2.1218655,-0.025254434,0.06646725,0.8616986870765686,85,21760,6255.453663022723,696320
129.71,2.97,111,0.01685532,0.20161946,2.131886,-0.024839722,0.05826421,0.8794427067041397,86,22016,6328.609836820047,704512
124.02,2.89,111,0.020182027,0.23474121,2.1196642,-0.025616912,0.06579151,0.891823060810566,87,22272,6401.92070274381,712704
119.19,2.9,111,0.02214893,0.24678548,2.0610473,-0.030119488,0.047965627,0.9099931195378304,88,22528,6475.202281957958,720896
135.58,3.5,111,0.02343786,0.24601237,2.0800247,-0.027291402,0.052521974,0.9082924574613571,89,22784,6548.632527427748,729088
136.12,3.12,111,0.018725399,0.22147624,2.1053553,-0.032388527,0.055035934,0.8860602453351021,90,23040,6621.821304609999,737280
126.67,2.91,111,0.019694505,0.2023112,2.0732632,-0.022544077,0.07901019,0.8560264557600021,91,23296,6695.48922103364,745472
118.34,3.14,111,0.020500777,0.23494466,2.0290008,-0.029263606,0.046305653,0.9258960112929344,92,23552,6769.141880990937,753664
131.36,3.28,111,0.020920655,0.22599284,2.0265405,-0.03012416,0.056464028,0.9222268611192703,93,23808,6842.496601790655,761856
139.45,3.88,111,0.01715623,0.2030843,2.041621,-0.014757085,0.100705765,0.8485357314348221,94,24064,6915.807252069004,770048
149.05,3.64,111,0.018848682,0.2166748,2.0194752,-0.029794142,0.05706886,0.9080552011728287,95,24320,6989.052164877765,778240
150.59,3.04,111,0.019942248,0.22375488,1.9760796,-0.02474916,0.056477945,0.9131119102239609,96,24576,7062.199753159657,786432
132.87,3.21,111,0.019582618,0.22908528,2.0157058,-0.029591037,0.052761305,0.9151241034269333,97,24832,7135.502971977927,794624
139.82,3.38,111,0.018745659,0.21923828,2.0522978,-0.024314752,0.100290634,0.8342706114053726,98,25088,7208.921947936062,802816
133.53,3.25,110,0.015316135,0.19335938,2.049097,-0.022539666,0.107347876,0.8126985877752304,99,25344,7282.855751955882,811008
137.82,2.62,111,0.017838584,0.20772298,2.0483088,-0.024554715,0.08523714,0.8621949851512909,100,25600,7356.079464422073,819200
142.13,2.97,111,0.018684676,0.22058105,2.020148,-0.020217573,0.106954895,0.8421517908573151,101,25856,7429.50773347076,827392
139.2,3.51,111,0.017919606,0.20060222,2.0271692,-0.022271434,0.060918987,0.9025622457265854,102,26112,7503.060213468038,835584
150.81,3.6,111,0.018495128,0.21195476,2.0259407,-0.027043045,0.045372333,0.9260326325893402,103,26368,7576.231368260924,843776
148.32,3.84,111,0.015077396,0.1887614,2.0283473,-0.017908739,0.14575365,0.818956658244133,104,26624,7649.707275249995,851968
140.75,3.01,110,0.018062303,0.2010905,1.9852148,-0.029611662,0.09058183,0.9035290032625198,105,26880,7723.58281899197,860160
149.61,3.73,112,0.020520492,0.21370442,2.0061781,-0.022096694,0.13699861,0.8350923210382462,106,27136,7796.549816804938,868352
144.02,3.92,110,0.020502644,0.22420247,2.036494,-0.028237447,0.082965955,0.8771363645792007,107,27392,7870.477669169661,876544
145.75,3.11,110,0.020599524,0.2121582,2.0128267,-0.023238948,0.11373034,0.8507392555475235,108,27648,7944.452291551046,884736
154.14,3.37,111,0.022305844,0.23856609,2.0163724,-0.026963113,0.11969888,0.8143723011016846,109,27904,8018.193874110002,892928
149.62,3.63,111,0.019072713,0.20788574,1.9864742,-0.022240328,0.16362166,0.7360413670539856,110,28160,8091.658741333988,901120
161.36,3.65,111,0.015513539,0.18440755,1.9493732,-0.02120223,0.13464211,0.8430081009864807,111,28416,8165.069744762965,909312
174.82,4.34,111,0.016258644,0.19962566,1.9536642,-0.019757189,0.123677015,0.8772274255752563,112,28672,8238.29791330779,917504
186.11,5.37,110,0.020708643,0.22440593,1.9354769,-0.02089042,0.12176541,0.8886293917894363,113,28928,8312.310863123741,925696
190.46,5.17,111,0.02292134,0.22013347,1.9407421,-0.024317577,0.093880266,0.8921302780508995,114,29184,8385.50873835478,933888
183.7,4.08,110,0.017517997,0.19396973,1.9186825,-0.0248652,0.11256095,0.8832480534911156,115,29440,8459.464172143023,942080
177.18,4.56,111,0.020449588,0.22607422,1.8989242,-0.021711491,0.07516352,0.9295688793063164,116,29696,8533.23722588364,950272
174.14,4.64,111,0.027052166,0.27250162,1.9718256,-0.027299756,0.05692869,0.9336566030979156,117,29952,8606.84852521168,958464
164.71,4.08,111,0.02430039,0.24816895,1.946767,-0.02655592,0.077003814,0.9293643608689308,118,30208,8680.223868921865,966656
159.27,4.39,111,0.021460252,0.21769206,1.9577292,-0.027108723,0.06731161,0.922754630446434,119,30464,8753.544787517749,974848
171.12,4.12,111,0.02045601,0.22127278,1.9372964,-0.023322893,0.078117,0.9284418374300003,120,30720,8827.019822495058,983040
186.4,4.71,111,0.020608282,0.21044922,1.9071088,-0.023781486,0.13915946,0.8836371675133705,121,30976,8900.266909230035,991232
175.61,4.48,111,0.026388584,0.25195312,1.930993,-0.024186114,0.08141842,0.9251712784171104,122,31232,8973.631567595992,999424
