eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
88.56,-2.68,112,0.00027566505,0.0,2.707755,-0.00039410577,0.5044967,-0.10402822494506836,1,256,145.58211171301082,16384
83.49,-2.83,113,0.00018996558,0.0,2.7066193,-0.0004492445,0.16271977,0.05176842212677002,2,512,290.1328068971634,32768
82.87,-2.52,113,0.0010818461,0.0013631185,2.702056,-0.0010890238,0.15414585,0.12694424390792847,3,768,434.00265850732103,49152
86.51,-1.92,113,0.003191116,0.019327799,2.6870482,-0.0018592215,0.11518986,0.1971619725227356,4,1024,578.2658017352223,65536
79.48,-2.07,113,0.0034500882,0.018493652,2.6628036,-0.001648982,0.12449837,0.29555678367614746,5,1280,722.801547687035,81920
82.27,-2.18,113,0.004137315,0.017822266,2.6340225,-0.002096656,0.1149404,0.41756880283355713,6,1536,866.9431377071887,98304
79.71,-1.37,113,0.0035765674,0.021199545,2.6315444,-0.002672594,0.083789915,0.4977916479110718,7,1792,1011.1677852361463,114688
82.62,-1.62,113,0.0040235524,0.031066895,2.636975,-0.0032510497,0.10081899,0.5158255100250244,8,2048,1155.4145658030175,131072
85.43,-1.78,113,0.0035444992,0.033691406,2.6234345,-0.004500415,0.09477284,0.5755666196346283,9,2304,1299.6994449952617,147456
79.35,-1.67,113,0.00395745,0.024719238,2.5675786,-0.0031894103,0.100433744,0.6424444615840912,10,2560,1444.0774345430546,163840
78.57,-0.84,113,0.0036214755,0.025472006,2.5552218,-0.0033017825,0.10211266,0.6592379808425903,11,2816,1588.326486735139,180224
79.79,-1.17,113,0.0049384246,0.048543293,2.4837177,-0.0042233593,0.09178367,0.6699686050415039,12,3072,1732.7668848829344,196608
77.6,-1.19,113,0.004794601,0.05061849,2.5017157,-0.0055462285,0.08597693,0.7134318053722382,13,3328,1876.9955230932683,212992
81.47,-0.89,113,0.0052914903,0.04618327,2.468457,-0.005074716,0.074822634,0.7239698171615601,14,3584,2021.2750356341712,229376
75.68,-1.04,113,0.004196411,0.038798016,2.478769,-0.0054083276,0.07433926,0.7169375717639923,15,3840,2165.4729748941027,245760
78.28,-0.07,113,0.004059985,0.032348633,2.4935036,-0.003949665,0.06541681,0.7407988607883453,16,4096,2310.012670536991,262144
78.68,-0.28,113,0.005526988,0.063313805,2.4332976,-0.0050090165,0.059865225,0.715012788772583,17,4352,2454.387038813904,278528
76.2,-0.44,113,0.004578658,0.044311523,2.4396558,-0.006830309,0.060248565,0.6855729520320892,18,4608,2598.7272639153525,294912
76.26,-0.12,113,0.007940569,0.10378011,2.3952396,-0.001859944,0.059076775,0.5896607041358948,19,4864,2742.7267705202103,311296
76.95,-0.21,113,0.0075947717,0.10119629,2.4320514,-0.00512308,0.05784988,0.6635437607765198,20,5120,2887.134993221145,327680
81.67,-0.26,113,0.0066100326,0.08406576,2.4231372,-0.006238623,0.05887693,0.6603212058544159,21,5376,3031.8210326540284,344064
78.83,-0.31,113,0.0072441553,0.08980306,2.4021108,-0.006912337,0.044806734,0.6705187857151031,22,5632,3175.747083113063,360448
78.36,-0.36,113,0.006699744,0.08249918,2.3034127,-0.008687866,0.047547307,0.7039646804332733,23,5888,3319.9444281859323,376832
82.43,0.37,113,0.0064013745,0.07950846,2.29069,-0.0078412825,0.042533275,0.6955598890781403,24,6144,3464.401407861151,393216
82.44,0.18,113,0.0073130927,0.09195963,2.2832482,-0.0087834615,0.036688376,0.7241880595684052,25,6400,3609.110552830156,409600
87.27,0.67,113,0.007927092,0.10133871,2.3420305,-0.009795937,0.043604452,0.7002599537372589,26,6656,3753.370788553264,425984
77.51,0.4,113,0.006864388,0.08394369,2.3637438,-0.00815303,0.03776098,0.6980264782905579,27,6912,3897.7567518171854,442368
85.99,0.5,113,0.0074161435,0.09025065,2.4029338,-0.010615329,0.048720043,0.6906119287014008,28,7168,4042.045055158902,458752
88.19,0.6,113,0.0067045987,0.07950846,2.396588,-0.010786497,0.041119706,0.6801874935626984,29,7424,4186.5679879109375,475136
79.98,0.38,113,0.007975572,0.09838867,2.3893392,-0.008989432,0.037947487,0.7063558399677277,30,7680,4331.002296566963,491520
83.91,1.05,113,0.009029719,0.11417643,2.3930829,-0.009267976,0.040214557,0.7287909686565399,31,7936,4475.31194999814,507904
