eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
86.23,-2.7,73,0.0017679626,0.005391439,2.706227,-0.00061345793,0.312827,-0.0010750293731689453,1,256,221.939312688075,16384
91.89,-2.35,75,0.0030707524,0.016540527,2.6978734,-0.0016876305,0.13616697,0.021475017070770264,2,512,438.22605728078634,32768
84.63,-2.31,76,0.0017529303,0.009216309,2.6954553,-0.0010840524,0.15233707,0.06041824817657471,3,768,653.4557101568207,49152
80.84,-1.89,76,0.0053391363,0.039978027,2.688178,-0.0035216026,0.13640358,0.15354585647583008,4,1024,868.7531560137868,65536
81.87,-2.11,76,0.0038383051,0.017069498,2.6769984,-0.002199606,0.14372467,0.26659005880355835,5,1280,1083.7041454641148,81920
85.3,-2.47,76,0.0034803916,0.02319336,2.663252,-0.003319333,0.15414399,0.36004406213760376,6,1536,1298.7258049310185,98304
81.34,-2.48,76,0.004086035,0.03800456,2.6571214,-0.005080055,0.115411706,0.4732809066772461,7,1792,1513.573981598951,114688
87.36,-1.93,76,0.0057732635,0.06068929,2.6448123,-0.0066367537,0.10231119,0.5086653828620911,8,2048,1728.9133994099684,131072
83.23,-1.54,76,0.005182062,0.054097492,2.640683,-0.007801657,0.10292578,0.5505460202693939,9,2304,1943.7764417817816,147456
88.76,-2.08,76,0.004695025,0.045043945,2.6325357,-0.0074499436,0.09132268,0.5947891175746918,10,2560,2159.142164163757,163840
82.51,-1.2,76,0.0046034264,0.039204914,2.6275065,-0.0052800537,0.09534586,0.5647284686565399,11,2816,2374.6170708369464,180224
87.0,-1.52,76,0.0048691197,0.051066082,2.6216779,-0.008434295,0.07456153,0.5480445027351379,12,3072,2589.519985666964,196608
85.16,-1.31,75,0.0064537018,0.08280436,2.6081507,-0.010292219,0.06758175,0.583385705947876,13,3328,2805.099471473135,212992
77.63,-0.69,75,0.0064094677,0.08052572,2.5966704,-0.009898997,0.07599149,0.5743506252765656,14,3584,3020.8604688281193,229376
83.19,-1.23,76,0.0064858124,0.07847086,2.596648,-0.00883998,0.06645223,0.6163802146911621,15,3840,3235.0644682431594,245760
80.27,-0.41,75,0.008750056,0.12225342,2.5671852,-0.0128618395,0.061738085,0.579456239938736,16,4096,3451.007635089103,262144
75.75,-0.24,76,0.0077056945,0.10142008,2.5542617,-0.010746588,0.0625295,0.56879723072052,17,4352,3666.1383486278355,278528
81.18,-0.34,76,0.008237604,0.10870361,2.5512717,-0.013400112,0.07172032,0.5585476458072662,18,4608,3881.1109372391365,294912
84.99,-0.41,76,0.0073626307,0.095174156,2.5313728,-0.012172762,0.059786964,0.6024118959903717,19,4864,4096.173682067078,311296
89.73,0.29,76,0.0073965886,0.09753418,2.530997,-0.012093966,0.049526136,0.5975087881088257,20,5120,4311.448966105003,327680
83.43,0.21,76,0.009698443,0.13130696,2.5165756,-0.012608728,0.051468823,0.5004950165748596,21,5376,4525.968214687891,344064
86.18,0.49,76,0.009075922,0.12046305,2.523607,-0.013785829,0.050066676,0.5308491289615631,22,5632,4741.122152775992,360448
