eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
82.03,-3.26,94,0.0002844207,0.0,2.7077491,-0.00043573382,0.32002532,-0.0036432743072509766,1,256,173.21038995403796,16384
82.1,-1.95,93,8.267386e-05,0.0,2.7076542,-0.00029900655,0.15111479,0.016672194004058838,2,512,348.1361784921028,32768
86.77,-2.05,93,0.00014192694,0.0,2.7072954,-0.00035507474,0.13586192,0.03424626588821411,3,768,522.8601629007608,49152
85.26,-3.08,93,0.0011143441,0.0050455728,2.7031062,-0.0011714688,0.14825144,0.10504430532455444,4,1024,698.9649796928279,65536
83.77,-3.23,94,0.0018695438,0.006327311,2.6935084,-0.0013075322,0.13974857,0.1998347043991089,5,1280,872.1126049091108,81920
87.27,-2.71,94,0.0017817939,0.008666992,2.6860244,-0.0017302175,0.12608732,0.2488287091255188,6,1536,1045.1928340680897,98304
81.89,-2.44,94,0.0029634389,0.0160319,2.6770442,-0.0036759058,0.099383645,0.3878438472747803,7,1792,1218.5402155211195,114688
89.86,-1.68,94,0.003817422,0.034179688,2.6742191,-0.0052249418,0.100253224,0.4129221439361572,8,2048,1391.3444836218841,131072
84.44,-1.47,94,0.0035639172,0.025655111,2.6675224,-0.0047126305,0.093824126,0.486425518989563,9,2304,1564.621434099041,147456
82.25,-0.83,94,0.004921714,0.051310223,2.6427372,-0.0073233997,0.06579477,0.5375507771968842,10,2560,1738.3303621821105,163840
82.97,-1.46,94,0.004671571,0.051554363,2.6283944,-0.007521307,0.07890304,0.5759652554988861,11,2816,1911.6589219179004,180224
83.41,-0.77,94,0.0053158426,0.065694176,2.6285226,-0.008604128,0.06321408,0.6103063523769379,12,3072,2085.1895357151516,196608
79.7,-0.88,94,0.005747315,0.067118324,2.6063898,-0.00904597,0.06012897,0.5633178055286407,13,3328,2258.6833435171284,212992
81.47,-0.6,94,0.0055741034,0.06429037,2.5955856,-0.010855194,0.05883454,0.5684818923473358,14,3584,2432.145815163851,229376
81.05,0.02,94,0.006553248,0.08135986,2.5674052,-0.007983803,0.06036626,0.6008009016513824,15,3840,2605.0864595179446,245760
80.32,0.12,94,0.0070316736,0.087361656,2.5442464,-0.010179166,0.056412842,0.6454549729824066,16,4096,2778.579636212904,262144
83.53,-0.08,94,0.0067699593,0.08445231,2.5512183,-0.010318218,0.053336766,0.6636340320110321,17,4352,2952.138378286734,278528
89.93,0.58,94,0.006180922,0.07519531,2.544191,-0.010390644,0.04547636,0.570872575044632,18,4608,3125.3009356581606,294912
77.99,0.55,94,0.0074924887,0.09651693,2.5447237,-0.012857248,0.04530706,0.6715852618217468,19,4864,3298.6098270337097,311296
82.45,0.27,94,0.009331728,0.11796061,2.5130596,-0.009179234,0.04248445,0.656456470489502,20,5120,3472.26709069591,327680
83.12,0.95,94,0.008380595,0.1083374,2.5007212,-0.012926751,0.034673955,0.73198601603508,21,5376,3645.509294551797,344064
85.7,0.97,94,0.0102392305,0.1395874,2.470947,-0.013157111,0.044749275,0.7216849327087402,22,5632,3818.6209890409373,360448
